Date,Price
18-11-2021,92.01
19-11-2021,92.78
22-11-2021,93.39
23-11-2021,93.99
24-11-2021,94.33
26-11-2021,94.44
29-11-2021,94.71
30-11-2021,94.97
01-12-2021,103.17
02-12-2021,101.82
03-12-2021,101.49
06-12-2021,103.74
07-12-2021,108.04
08-12-2021,106.77
09-12-2021,106.49
10-12-2021,105
13-12-2021,108.51
14-12-2021,107.04
15-12-2021,109.22
16-12-2021,111.19
17-12-2021,111.64
20-12-2021,113.79
21-12-2021,113.64
22-12-2021,112.54
23-12-2021,112.54
27-12-2021,112.99
28-12-2021,112.29
29-12-2021,112.34
30-12-2021,112.24
31-12-2021,112.5
03-01-2022,120.4
04-01-2022,120.91
05-01-2022,124.14
06-01-2022,125.94
07-01-2022,126.21
10-01-2022,124.48
11-01-2022,126.75
12-01-2022,128.66
13-01-2022,127.84
14-01-2022,126.24
18-01-2022,127.48
